latitude,longitude,address,charger_type,charging_capacity_kw,cost_usd_per_kwh,availability_simple,avg_users_per_day,station_operator
-33.786133,151.295304,"4355 Sydney Ave, Sydney",DC Fast Charger,150.0,0.13,24/7,56.0,ChargePoint
41.878593,-87.69892,"689 Chicago Ave, Chicago",AC Level 1,150.0,0.18,daytime,40.0,ChargePoint
34.18596,-118.347082,"8531 Los Angeles Ave, Los Angeles",AC Level 2,150.0,0.47,24/7,26.0,ChargePoint
68.997157,173.396684,"7905 Random Rd, City 102, Country",AC Level 1,50.0,0.45,24/7,75.0,EVgo
52.424113,13.37999,"8806 Berlin Ave, Berlin",AC Level 2,50.0,0.33,daytime,50.0,ChargePoint
55.720058,37.598246,"4130 Moscow Ave, Moscow",AC Level 2,22.0,0.49,daytime,79.0,Greenlots
41.948302,-87.718438,"6541 Chicago Ave, Chicago",DC Fast Charger,50.0,0.37,24/7,79.0,Ionity
37.5231,127.072447,"4005 Seoul Ave, Seoul",AC Level 1,150.0,0.13,24/7,19.0,Tesla
19.118476,72.956977,"5574 Mumbai Ave, Mumbai",AC Level 2,150.0,0.18,6:00-22:00,50.0,ChargePoint
25.283465,55.264578,"6085 Dubai Ave, Dubai",DC Fast Charger,50.0,0.42,daytime,67.0,Greenlots
37.601252,127.028633,"4787 Seoul Ave, Seoul",AC Level 1,150.0,0.41,daytime,71.0,EVgo
41.959182,-87.684862,"4378 Chicago Ave, Chicago",DC Fast Charger,350.0,0.18,24/7,13.0,EVgo
41.801381,-87.620772,"16 Chicago Ave, Chicago",AC Level 2,22.0,0.3,daytime,26.0,Tesla
35.844347,28.705089,"5140 Random Rd, City 50, Country",DC Fast Charger,22.0,0.33,daytime,75.0,Ionity
-33.733482,18.441992,"7833 Cape Town Ave, Cape Town",DC Fast Charger,50.0,0.23,6:00-22:00,68.0,Greenlots
41.970902,-87.795455,"2876 Chicago Ave, Chicago",DC Fast Charger,350.0,0.28,daytime,49.0,Greenlots
43.73349,-79.340516,"5576 Toronto Ave, Toronto",AC Level 2,22.0,0.36,24/7,31.0,Ionity
25.387104,55.376848,"335 Dubai Ave, Dubai",DC Fast Charger,350.0,0.27,24/7,67.0,Greenlots
-33.877766,151.208813,"9172 Sydney Ave, Sydney",DC Fast Charger,350.0,0.32,24/7,31.0,EVgo
37.685854,126.915749,"5052 Seoul Ave, Seoul",AC Level 2,150.0,0.45,24/7,20.0,Greenlots
39.924519,116.33618,"6966 Beijing Ave, Beijing",DC Fast Charger,350.0,0.36,24/7,43.0,Tesla
25.358698,55.306683,"1979 Dubai Ave, Dubai",DC Fast Charger,50.0,0.14,6:00-22:00,13.0,Ionity
34.130318,-118.265518,"436 Los Angeles Ave, Los Angeles",DC Fast Charger,150.0,0.41,6:00-22:00,31.0,ChargePoint
81.083548,138.025159,"6980 Random Rd, City 205, Country",AC Level 2,50.0,0.44,daytime,19.0,Greenlots
-33.796979,18.591207,"9085 Cape Town Ave, Cape Town",AC Level 1,22.0,0.46,daytime,37.0,Tesla
34.001771,-118.315113,"1856 Los Angeles Ave, Los Angeles",AC Level 2,22.0,0.34,daytime,99.0,Ionity
39.839933,116.357848,"493 Beijing Ave, Beijing",AC Level 1,350.0,0.23,24/7,80.0,Ionity
39.818753,116.437967,"9969 Beijing Ave, Beijing",DC Fast Charger,22.0,0.45,6:00-22:00,46.0,Greenlots
-23.531806,-46.657324,"3924 São Paulo Ave, São Paulo",AC Level 2,50.0,0.16,24/7,12.0,Tesla
13.764058,100.543192,"8503 Bangkok Ave, Bangkok",DC Fast Charger,22.0,0.46,daytime,15.0,Greenlots
-33.756344,151.215081,"8542 Sydney Ave, Sydney",AC Level 2,350.0,0.34,24/7,100.0,ChargePoint
18.95993,72.979858,"3381 Mumbai Ave, Mumbai",DC Fast Charger,350.0,0.27,6:00-22:00,75.0,ChargePoint
34.174544,-118.206495,"1935 Los Angeles Ave, Los Angeles",AC Level 2,150.0,0.45,24/7,99.0,EVgo
-48.226753,-41.530541,"7612 Random Rd, City 96, Country",AC Level 2,350.0,0.35,daytime,91.0,EVgo
19.523567,-99.039919,"9806 Mexico City Ave, Mexico City",DC Fast Charger,50.0,0.32,24/7,31.0,EVgo
-33.791097,18.432514,"4122 Cape Town Ave, Cape Town",AC Level 2,350.0,0.36,6:00-22:00,32.0,Ionity
55.80858,37.561068,"6532 Moscow Ave, Moscow",AC Level 2,150.0,0.28,6:00-22:00,82.0,ChargePoint
41.848181,-87.613822,"6285 Chicago Ave, Chicago",AC Level 2,50.0,0.13,6:00-22:00,40.0,Tesla
39.905622,116.394232,"1381 Beijing Ave, Beijing",AC Level 2,50.0,0.49,24/7,99.0,Tesla
41.825261,-87.749237,"6829 Chicago Ave, Chicago",AC Level 2,50.0,0.2,6:00-22:00,91.0,EVgo
-33.738647,18.566822,"760 Cape Town Ave, Cape Town",DC Fast Charger,350.0,0.37,6:00-22:00,68.0,Ionity
43.633114,-79.440012,"7708 Toronto Ave, Toronto",AC Level 1,50.0,0.16,daytime,99.0,ChargePoint
55.816399,37.517124,"4669 Moscow Ave, Moscow",AC Level 2,150.0,0.47,6:00-22:00,11.0,EVgo
34.909016,103.164075,"9222 Random Rd, City 384, Country",AC Level 1,150.0,0.19,24/7,98.0,Ionity
37.737894,-122.413068,"7476 San Francisco Ave, San Francisco",AC Level 1,350.0,0.39,24/7,58.0,EVgo
52.458154,13.383548,"6288 Berlin Ave, Berlin",AC Level 1,350.0,0.11,daytime,18.0,Greenlots
52.459482,13.420488,"9796 Berlin Ave, Berlin",AC Level 2,50.0,0.3,daytime,79.0,Tesla
13.875159,100.507561,"2173 Bangkok Ave, Bangkok",AC Level 1,22.0,0.3,6:00-22:00,67.0,Greenlots
-23.603702,-46.520629,"3633 São Paulo Ave, São Paulo",AC Level 1,50.0,0.11,24/7,85.0,ChargePoint
34.036969,-118.348881,"8984 Los Angeles Ave, Los Angeles",AC Level 2,22.0,0.44,24/7,25.0,Tesla
39.85934,116.359182,"7371 Beijing Ave, Beijing",DC Fast Charger,350.0,0.2,6:00-22:00,85.0,Tesla
25.264785,55.343229,"8983 Dubai Ave, Dubai",AC Level 2,350.0,0.41,daytime,17.0,Tesla
37.568724,126.962294,"1750 Seoul Ave, Seoul",AC Level 2,150.0,0.41,daytime,54.0,ChargePoint
10.942627,125.16781,"7940 Random Rd, City 40, Country",DC Fast Charger,50.0,0.12,24/7,22.0,ChargePoint
39.937451,116.323201,"7022 Beijing Ave, Beijing",DC Fast Charger,22.0,0.12,24/7,41.0,Ionity
37.64878,126.903295,"5496 Seoul Ave, Seoul",AC Level 1,22.0,0.32,daytime,20.0,Greenlots
43.737898,-79.330018,"4326 Toronto Ave, Toronto",AC Level 2,22.0,0.14,6:00-22:00,93.0,Ionity
19.587423,-99.072921,"1236 Mexico City Ave, Mexico City",AC Level 2,150.0,0.26,24/7,76.0,EVgo
19.521945,-99.049855,"2317 Mexico City Ave, Mexico City",AC Level 2,350.0,0.29,daytime,47.0,ChargePoint
-33.733347,18.455827,"7328 Cape Town Ave, Cape Town",DC Fast Charger,22.0,0.31,6:00-22:00,96.0,ChargePoint
18.97956,72.963574,"9772 Mumbai Ave, Mumbai",AC Level 2,350.0,0.11,6:00-22:00,43.0,Tesla
55.723104,37.652898,"5042 Moscow Ave, Moscow",DC Fast Charger,50.0,0.19,24/7,62.0,Ionity
39.857604,116.357044,"7308 Beijing Ave, Beijing",AC Level 1,350.0,0.19,daytime,68.0,EVgo
-16.299957,56.504931,"7129 Random Rd, City 300, Country",DC Fast Charger,350.0,0.15,6:00-22:00,43.0,Ionity
41.902876,-87.633567,"4833 Chicago Ave, Chicago",AC Level 1,50.0,0.35,6:00-22:00,48.0,Greenlots
13.76324,100.555092,"563 Bangkok Ave, Bangkok",AC Level 2,150.0,0.27,24/7,22.0,ChargePoint
19.085914,72.847076,"1666 Mumbai Ave, Mumbai",AC Level 2,50.0,0.39,6:00-22:00,19.0,ChargePoint
37.614963,127.071672,"3505 Seoul Ave, Seoul",AC Level 2,50.0,0.31,6:00-22:00,59.0,Greenlots
41.945245,-87.702684,"8657 Chicago Ave, Chicago",AC Level 2,50.0,0.3,6:00-22:00,57.0,ChargePoint
39.964943,116.356573,"2491 Beijing Ave, Beijing",AC Level 2,22.0,0.37,6:00-22:00,44.0,Ionity
25.364988,55.308793,"7486 Dubai Ave, Dubai",DC Fast Charger,22.0,0.17,24/7,89.0,Tesla
25.327731,55.265229,"157 Dubai Ave, Dubai",AC Level 2,50.0,0.18,daytime,44.0,Greenlots
-33.752322,151.290734,"3530 Sydney Ave, Sydney",AC Level 2,150.0,0.28,24/7,62.0,Tesla
-39.773789,-118.454132,"950 Random Rd, City 136, Country",DC Fast Charger,150.0,0.4,24/7,92.0,Tesla
34.006015,-118.340642,"170 Los Angeles Ave, Los Angeles",AC Level 2,50.0,0.29,daytime,57.0,Greenlots
-23.632022,-46.571271,"8450 São Paulo Ave, São Paulo",AC Level 2,50.0,0.21,6:00-22:00,62.0,Tesla
55.879507,37.662621,"5746 Moscow Ave, Moscow",AC Level 2,50.0,0.46,24/7,83.0,EVgo
-33.85476,151.300876,"5550 Sydney Ave, Sydney",DC Fast Charger,50.0,0.48,6:00-22:00,33.0,Tesla
37.532948,127.008718,"7503 Seoul Ave, Seoul",AC Level 1,150.0,0.47,24/7,45.0,Tesla
19.432658,-99.086061,"6276 Mexico City Ave, Mexico City",DC Fast Charger,22.0,0.21,6:00-22:00,49.0,Ionity
-33.872186,151.346868,"6208 Sydney Ave, Sydney",AC Level 2,50.0,0.16,24/7,71.0,Ionity
39.916791,116.267198,"3833 Beijing Ave, Beijing",AC Level 1,22.0,0.1,6:00-22:00,66.0,Ionity
41.933882,-87.634607,"4948 Chicago Ave, Chicago",DC Fast Charger,150.0,0.35,24/7,58.0,EVgo
32.988859,32.234936,"8806 Random Rd, City 293, Country",AC Level 1,50.0,0.16,6:00-22:00,28.0,Tesla
41.968075,-87.730962,"2642 Chicago Ave, Chicago",AC Level 1,150.0,0.27,daytime,32.0,EVgo
25.312641,55.273931,"1811 Dubai Ave, Dubai",DC Fast Charger,22.0,0.43,6:00-22:00,37.0,EVgo
41.847635,-87.753595,"3495 Chicago Ave, Chicago",AC Level 1,50.0,0.33,24/7,26.0,Greenlots
19.053562,72.835112,"821 Mumbai Ave, Mumbai",DC Fast Charger,350.0,0.25,6:00-22:00,45.0,Greenlots
-33.885375,151.309019,"6193 Sydney Ave, Sydney",AC Level 1,350.0,0.34,6:00-22:00,30.0,Tesla
-33.762238,18.497402,"3078 Cape Town Ave, Cape Town",AC Level 1,350.0,0.41,daytime,37.0,Ionity
43.667051,-79.49562,"4542 Toronto Ave, Toronto",DC Fast Charger,22.0,0.33,6:00-22:00,98.0,Tesla
39.972485,116.200458,"852 Beijing Ave, Beijing",AC Level 1,22.0,0.34,6:00-22:00,94.0,Ionity
-33.704286,18.454534,"5698 Cape Town Ave, Cape Town",AC Level 2,350.0,0.5,6:00-22:00,76.0,Tesla
-50.498253,-91.137594,"8709 Random Rd, City 424, Country",AC Level 1,22.0,0.35,6:00-22:00,87.0,Tesla
39.92592,116.423656,"3638 Beijing Ave, Beijing",AC Level 1,150.0,0.11,24/7,85.0,ChargePoint
-33.77252,18.541711,"4783 Cape Town Ave, Cape Town",AC Level 2,50.0,0.44,6:00-22:00,14.0,ChargePoint
43.654641,-79.348446,"7845 Toronto Ave, Toronto",DC Fast Charger,150.0,0.15,6:00-22:00,80.0,Greenlots
55.720416,37.545201,"3962 Moscow Ave, Moscow",AC Level 1,350.0,0.5,24/7,34.0,Greenlots
-23.545409,-46.511423,"7670 São Paulo Ave, São Paulo",DC Fast Charger,50.0,0.2,24/7,33.0,Greenlots
13.874673,100.499411,"642 Bangkok Ave, Bangkok",AC Level 1,350.0,0.39,6:00-22:00,42.0,ChargePoint
52.45077,13.404804,"668 Berlin Ave, Berlin",AC Level 1,150.0,0.41,6:00-22:00,52.0,ChargePoint
19.494854,-99.114742,"2735 Mexico City Ave, Mexico City",AC Level 2,50.0,0.26,24/7,75.0,Tesla
37.769385,-122.409949,"8002 San Francisco Ave, San Francisco",AC Level 2,22.0,0.5,6:00-22:00,95.0,EVgo
-13.956652,77.822198,"9467 Random Rd, City 394, Country",AC Level 2,50.0,0.5,daytime,22.0,Ionity
52.489213,13.427218,"9559 Berlin Ave, Berlin",AC Level 2,22.0,0.25,daytime,92.0,Greenlots
-33.833546,18.554578,"1810 Cape Town Ave, Cape Town",AC Level 2,150.0,0.33,6:00-22:00,90.0,ChargePoint
43.646213,-79.323081,"8891 Toronto Ave, Toronto",AC Level 2,150.0,0.33,24/7,39.0,Greenlots
25.200341,55.397243,"866 Dubai Ave, Dubai",AC Level 2,50.0,0.11,6:00-22:00,93.0,Tesla
25.326558,55.384526,"8440 Dubai Ave, Dubai",AC Level 2,350.0,0.45,24/7,23.0,Greenlots
-33.830829,151.307906,"4259 Sydney Ave, Sydney",AC Level 2,22.0,0.22,24/7,18.0,Tesla
13.874674,100.504928,"8145 Bangkok Ave, Bangkok",DC Fast Charger,150.0,0.13,6:00-22:00,42.0,Greenlots
41.810569,-87.627675,"2502 Chicago Ave, Chicago",AC Level 2,50.0,0.37,daytime,41.0,Greenlots
39.990154,116.393454,"5969 Beijing Ave, Beijing",DC Fast Charger,350.0,0.39,6:00-22:00,32.0,Ionity
79.688544,-145.764185,"4227 Random Rd, City 428, Country",AC Level 2,22.0,0.12,daytime,53.0,ChargePoint
37.865915,-122.317142,"273 San Francisco Ave, San Francisco",DC Fast Charger,150.0,0.3,24/7,30.0,Ionity
55.778004,37.613105,"9567 Moscow Ave, Moscow",DC Fast Charger,350.0,0.29,daytime,17.0,Tesla
55.767176,37.663525,"2651 Moscow Ave, Moscow",AC Level 1,22.0,0.12,6:00-22:00,52.0,Greenlots
34.149479,-118.221804,"9305 Los Angeles Ave, Los Angeles",AC Level 1,50.0,0.46,daytime,100.0,ChargePoint
39.86551,116.33183,"3107 Beijing Ave, Beijing",AC Level 1,350.0,0.15,6:00-22:00,70.0,Tesla
37.56301,127.076728,"9001 Seoul Ave, Seoul",DC Fast Charger,150.0,0.33,24/7,53.0,EVgo
37.703091,-122.413612,"2338 San Francisco Ave, San Francisco",DC Fast Charger,150.0,0.13,daytime,69.0,Ionity
34.000561,-118.273892,"7216 Los Angeles Ave, Los Angeles",DC Fast Charger,22.0,0.47,6:00-22:00,37.0,Ionity
-33.716354,151.310527,"3420 Sydney Ave, Sydney",AC Level 2,350.0,0.38,24/7,94.0,Greenlots
46.166127,-87.073986,"8513 Random Rd, City 75, Country",AC Level 1,150.0,0.17,daytime,21.0,EVgo
37.654957,127.051576,"7508 Seoul Ave, Seoul",DC Fast Charger,350.0,0.4,24/7,35.0,Tesla
37.831442,-122.304284,"8034 San Francisco Ave, San Francisco",AC Level 2,50.0,0.19,6:00-22:00,31.0,ChargePoint
52.50332,13.424196,"4929 Berlin Ave, Berlin",AC Level 1,22.0,0.32,24/7,45.0,ChargePoint
37.710036,-122.331396,"4448 San Francisco Ave, San Francisco",DC Fast Charger,150.0,0.4,daytime,80.0,EVgo
37.631834,126.962567,"9513 Seoul Ave, Seoul",DC Fast Charger,350.0,0.17,24/7,56.0,ChargePoint
41.931228,-87.716399,"7820 Chicago Ave, Chicago",AC Level 2,150.0,0.26,6:00-22:00,25.0,ChargePoint
39.906152,116.318801,"3436 Beijing Ave, Beijing",AC Level 1,350.0,0.49,daytime,56.0,Greenlots
19.495854,-99.182497,"4247 Mexico City Ave, Mexico City",AC Level 2,150.0,0.13,24/7,75.0,Tesla
55.763502,37.68355,"1592 Moscow Ave, Moscow",AC Level 2,50.0,0.29,daytime,77.0,EVgo
-9.607391,161.811368,"7167 Random Rd, City 496, Country",AC Level 2,22.0,0.14,6:00-22:00,79.0,Ionity
37.689983,127.09878,"7953 Seoul Ave, Seoul",AC Level 1,22.0,0.3,24/7,38.0,Ionity
-23.584593,-46.502028,"4051 São Paulo Ave, São Paulo",AC Level 1,350.0,0.19,24/7,75.0,EVgo
19.435785,-99.162652,"4717 Mexico City Ave, Mexico City",DC Fast Charger,150.0,0.27,6:00-22:00,12.0,ChargePoint
-23.514985,-46.582148,"8712 São Paulo Ave, São Paulo",AC Level 2,150.0,0.48,daytime,13.0,Greenlots
19.497968,-99.051454,"2955 Mexico City Ave, Mexico City",AC Level 1,150.0,0.31,6:00-22:00,35.0,Tesla
19.067347,72.861488,"5172 Mumbai Ave, Mumbai",DC Fast Charger,50.0,0.31,6:00-22:00,23.0,EVgo
43.610363,-79.48986,"662 Toronto Ave, Toronto",DC Fast Charger,22.0,0.35,24/7,15.0,Greenlots
13.863524,100.491938,"4948 Bangkok Ave, Bangkok",AC Level 1,22.0,0.48,6:00-22:00,28.0,Ionity
13.705385,100.441089,"5090 Bangkok Ave, Bangkok",AC Level 1,350.0,0.44,24/7,79.0,Greenlots
-30.463477,72.967255,"9687 Random Rd, City 275, Country",AC Level 2,150.0,0.25,24/7,78.0,Ionity
19.504212,-99.067726,"950 Mexico City Ave, Mexico City",DC Fast Charger,50.0,0.23,24/7,56.0,EVgo
19.122767,72.980839,"4932 Mumbai Ave, Mumbai",AC Level 2,50.0,0.15,daytime,58.0,ChargePoint
52.403092,13.4685,"103 Berlin Ave, Berlin",AC Level 1,350.0,0.26,daytime,70.0,Tesla
43.762853,-79.467943,"8558 Toronto Ave, Toronto",DC Fast Charger,150.0,0.48,daytime,95.0,EVgo
-23.518493,-46.619176,"8293 São Paulo Ave, São Paulo",AC Level 1,350.0,0.11,daytime,30.0,ChargePoint
55.704517,37.512364,"9086 Moscow Ave, Moscow",AC Level 1,50.0,0.36,24/7,31.0,Tesla
52.52717,13.326888,"2447 Berlin Ave, Berlin",AC Level 1,350.0,0.14,daytime,92.0,EVgo
25.303691,55.263575,"6519 Dubai Ave, Dubai",DC Fast Charger,150.0,0.29,24/7,45.0,Greenlots
34.134092,-118.275174,"9336 Los Angeles Ave, Los Angeles",DC Fast Charger,350.0,0.33,daytime,17.0,Tesla
69.714553,92.357163,"7820 Random Rd, City 148, Country",AC Level 1,150.0,0.38,6:00-22:00,19.0,Greenlots
52.432821,13.430675,"275 Berlin Ave, Berlin",AC Level 2,22.0,0.11,6:00-22:00,18.0,Tesla
-33.701565,18.55943,"9022 Cape Town Ave, Cape Town",AC Level 2,150.0,0.15,6:00-22:00,51.0,EVgo
-33.891384,18.420943,"4885 Cape Town Ave, Cape Town",AC Level 1,22.0,0.49,daytime,81.0,ChargePoint
43.740446,-79.416778,"5225 Toronto Ave, Toronto",AC Level 1,22.0,0.14,6:00-22:00,78.0,ChargePoint
19.597756,-99.043345,"4652 Mexico City Ave, Mexico City",AC Level 2,50.0,0.38,24/7,66.0,Greenlots
52.541805,13.322045,"9330 Berlin Ave, Berlin",DC Fast Charger,350.0,0.17,daytime,16.0,Ionity
39.945845,116.403545,"7980 Beijing Ave, Beijing",AC Level 2,50.0,0.34,6:00-22:00,92.0,Greenlots
-33.781737,151.240717,"2207 Sydney Ave, Sydney",AC Level 2,350.0,0.45,daytime,69.0,Tesla
19.073252,72.877056,"5565 Mumbai Ave, Mumbai",AC Level 2,350.0,0.33,24/7,70.0,Tesla
38.12088,115.97817,"3257 Random Rd, City 66, Country",AC Level 1,50.0,0.43,24/7,43.0,Greenlots
55.71259,37.530612,"9181 Moscow Ave, Moscow",DC Fast Charger,350.0,0.42,24/7,32.0,EVgo
41.968499,-87.722968,"4470 Chicago Ave, Chicago",DC Fast Charger,22.0,0.22,24/7,32.0,Ionity
19.587109,-99.138539,"226 Mexico City Ave, Mexico City",AC Level 1,150.0,0.11,6:00-22:00,52.0,Greenlots
37.788542,-122.324005,"6861 San Francisco Ave, San Francisco",DC Fast Charger,22.0,0.22,daytime,30.0,ChargePoint
13.762907,100.468836,"3504 Bangkok Ave, Bangkok",AC Level 2,22.0,0.24,6:00-22:00,90.0,EVgo
37.588369,126.921526,"9968 Seoul Ave, Seoul",DC Fast Charger,22.0,0.27,24/7,94.0,EVgo
19.497339,-99.185746,"7958 Mexico City Ave, Mexico City",DC Fast Charger,150.0,0.22,24/7,65.0,Ionity
37.843346,-122.338399,"5083 San Francisco Ave, San Francisco",AC Level 1,150.0,0.25,daytime,71.0,ChargePoint
25.210258,55.346141,"4620 Dubai Ave, Dubai",AC Level 2,350.0,0.32,6:00-22:00,93.0,Tesla
81.886622,-43.849635,"3372 Random Rd, City 151, Country",AC Level 1,150.0,0.3,6:00-22:00,73.0,EVgo
52.54231,13.309848,"7852 Berlin Ave, Berlin",AC Level 1,150.0,0.23,daytime,49.0,Ionity
43.758918,-79.407208,"9887 Toronto Ave, Toronto",AC Level 1,150.0,0.22,6:00-22:00,40.0,EVgo
25.248905,55.225362,"2646 Dubai Ave, Dubai",DC Fast Charger,22.0,0.33,daytime,63.0,EVgo
37.547787,126.939294,"4917 Seoul Ave, Seoul",AC Level 1,22.0,0.42,daytime,19.0,ChargePoint
13.76758,100.486263,"4786 Bangkok Ave, Bangkok",DC Fast Charger,350.0,0.45,6:00-22:00,70.0,Greenlots
37.547658,126.915145,"2267 Seoul Ave, Seoul",AC Level 1,22.0,0.26,daytime,43.0,EVgo
-33.823268,151.232562,"9700 Sydney Ave, Sydney",DC Fast Charger,22.0,0.49,daytime,92.0,Greenlots
19.468829,-99.130994,"3482 Mexico City Ave, Mexico City",AC Level 2,22.0,0.35,24/7,49.0,Tesla
19.443801,-99.147814,"9591 Mexico City Ave, Mexico City",DC Fast Charger,22.0,0.1,daytime,45.0,Ionity
-84.73177,-63.29619,"9516 Random Rd, City 95, Country",AC Level 2,22.0,0.19,24/7,60.0,Greenlots
41.871045,-87.696168,"3472 Chicago Ave, Chicago",DC Fast Charger,50.0,0.38,6:00-22:00,41.0,EVgo
-33.710764,18.438451,"3167 Cape Town Ave, Cape Town",AC Level 1,350.0,0.36,24/7,56.0,Ionity
-33.829813,18.429813,"9279 Cape Town Ave, Cape Town",AC Level 2,50.0,0.29,6:00-22:00,98.0,Ionity
39.872016,116.34164,"2695 Beijing Ave, Beijing",DC Fast Charger,22.0,0.12,daytime,72.0,ChargePoint
37.640026,127.005849,"1703 Seoul Ave, Seoul",AC Level 2,22.0,0.32,6:00-22:00,20.0,EVgo
